country,forecast_date,predicted_tws,step
FRA,2025-08-01,1.4583616,1
FRA,2025-09-01,2.3812823,2
FRA,2025-10-01,2.9976711,3
FRA,2025-11-01,2.5045183,4
FRA,2025-12-01,1.7788256,5
FRA,2026-01-01,1.6438595,6
FRO,2025-08-01,6.1559873,1
FRO,2025-09-01,4.786004,2
FRO,2025-10-01,4.1258216,3
FRO,2025-11-01,4.471124,4
FRO,2025-12-01,4.226388,5
FRO,2026-01-01,3.9111614,6
FSM,2025-08-01,11.451205,1
FSM,2025-09-01,11.51807,2
FSM,2025-10-01,11.209399,3
FSM,2025-11-01,11.390598,4
FSM,2025-12-01,13.093473,5
FSM,2026-01-01,12.659117,6
GAB,2025-08-01,3.3059905,1
GAB,2025-09-01,4.0680614,2
GAB,2025-10-01,5.064619,3
GAB,2025-11-01,4.8689833,4
GAB,2025-12-01,3.8979068,5
GAB,2026-01-01,3.242244,6
GBR,2025-08-01,3.2490807,1
GBR,2025-09-01,3.5732865,2
GBR,2025-10-01,3.5835352,3
GBR,2025-11-01,3.3492498,4
GBR,2025-12-01,2.7770534,5
GBR,2026-01-01,2.5759797,6
GEO,2025-08-01,5.879794,1
GEO,2025-09-01,4.8756495,2
GEO,2025-10-01,4.768225,3
GEO,2025-11-01,5.64872,4
GEO,2025-12-01,4.5721416,5
GEO,2026-01-01,4.035835,6
GHA,2025-08-01,5.233456,1
GHA,2025-09-01,4.7128887,2
GHA,2025-10-01,4.703284,3
GHA,2025-11-01,4.6704082,4
GHA,2025-12-01,4.1317296,5
GHA,2026-01-01,3.5694082,6
GIN,2025-08-01,4.672877,1
GIN,2025-09-01,4.156736,2
GIN,2025-10-01,3.8376422,3
GIN,2025-11-01,3.9901066,4
GIN,2025-12-01,3.422298,5
GIN,2026-01-01,2.93783,6
GMB,2025-08-01,4.251117,1
GMB,2025-09-01,3.9262333,2
GMB,2025-10-01,3.7387357,3
GMB,2025-11-01,3.8308825,4
GMB,2025-12-01,3.206615,5
GMB,2026-01-01,2.787012,6
GNB,2025-08-01,4.2689233,1
GNB,2025-09-01,3.9262333,2
GNB,2025-10-01,3.7387357,3
GNB,2025-11-01,3.8308825,4
GNB,2025-12-01,3.206615,5
GNB,2026-01-01,2.787012,6
GNQ,2025-08-01,2.6323369,1
GNQ,2025-09-01,4.226953,2
GNQ,2025-10-01,5.2159944,3
GNQ,2025-11-01,4.308428,4
GNQ,2025-12-01,3.3997035,5
GNQ,2026-01-01,3.1116858,6
GRC,2025-08-01,7.223107,1
GRC,2025-09-01,5.2182827,2
GRC,2025-10-01,4.497631,3
GRC,2025-11-01,5.1312776,4
GRC,2025-12-01,5.021762,5
GRC,2026-01-01,4.489856,6
GRL,2025-08-01,13.662798,1
GRL,2025-09-01,14.624007,2
GRL,2025-10-01,13.305026,3
GRL,2025-11-01,12.111823,4
GRL,2025-12-01,13.942848,5
GRL,2026-01-01,12.895913,6
GTM,2025-08-01,5.2266316,1
GTM,2025-09-01,4.765922,2
GTM,2025-10-01,5.134456,3
GTM,2025-11-01,4.9001703,4
GTM,2025-12-01,4.3427444,5
GTM,2026-01-01,4.067022,6
GUY,2025-08-01,-3.4139688,1
GUY,2025-09-01,-19.747952,2
GUY,2025-10-01,-7.929147,3
GUY,2025-11-01,0.56230617,4
GUY,2025-12-01,1.6045264,5
GUY,2026-01-01,1.6524293,6
HND,2025-08-01,4.595045,1
HND,2025-09-01,4.252622,2
HND,2025-10-01,4.3545003,3
HND,2025-11-01,4.1202154,4
HND,2025-12-01,3.422298,5
HND,2026-01-01,3.0804985,6
HRV,2025-08-01,3.640627,1
HRV,2025-09-01,3.432726,2
HRV,2025-10-01,3.3538618,3
HRV,2025-11-01,3.2312236,4
HRV,2025-12-01,2.7770534,5
HRV,2026-01-01,2.5759797,6
HTI,2025-08-01,4.3652062,1
HTI,2025-09-01,4.252622,2
HTI,2025-10-01,4.630501,3
HTI,2025-11-01,4.1202154,4
HTI,2025-12-01,3.3055215,5
